#separator:Comma
#html:false
#notetype:Basic
#deck:iball的小屋::电影::摩登家庭
#columns:Front,Back
"Yeah, just a sec.","好的，等一下。

释义：等一下
音标：/dʒʌst ə sek/"
"Um, we caravanned that house.","呃，我们一起去看过那套房子。

释义：一起去看过那套房
音标：/ˌkærəˈvænd ðæt haʊs/"
"I'm just there till my divorce is final.","我只是住到离婚正式生效为止。

释义：离婚正式生效
音标：/dɪˈvɔːrs ɪz ˈfaɪnəl/"
"Now, who is coconuts enough to dorce you? We got to go, but we'll see yoaround.","现在，谁会疯到跟你离婚？我们得走了，回头见。

释义：疯到愿意……
音标：/ˈkoʊkoʊnʌts ɪˈnʌf/"
"Well, we'll have to have you over sometime.","好吧，我们改天得请你过来做客。

释义：请你来家里做客
音标：/hæv juː ˈoʊvər/"
"I heard she already slept with two dads from the school.","我听说她已经和学校里的两个爸爸睡过了。

释义：和……发生关系
音标：/slept wɪð/"
"Oh, watch it, buddy.","哦，小心点，伙计。

释义：小心点
音标：/wɑːtʃ ɪt/"
"Until he's responsible enough To take care of his own bike.","直到他足够负责任，能照顾好自己的自行车。

释义：足够负责任
音标：/rɪˈspɑːnsəbəl ɪˈnʌf/"
"Look, he spilled a soda on my computer.","你看，他把汽水洒在了我的电脑上。

释义：打翻汽水
音标：/spɪld ə ˈsoʊdə/"
"He ruined our digital camera taking pictures of himself underwater.","他给自己在水下拍照，把我们的数码相机弄坏了。

释义：给自己拍照
音标：/ˈteɪkɪŋ ˈpɪktʃərz əv hɪmˈself/"
"I'm all for teaching him a lesson, But I worry about the ridicule he might get From some loudmouth bully.","我很赞成给他一个教训，但我担心有些爱嚷嚷的恶霸会嘲笑他。

释义：教训他；给他一个教训
音标：/ˈtiːtʃɪŋ hɪm ə ˈlesən/"
"Actually, not for long.","其实不会持续太久。

释义：不会持续太久
音标：/nɑːt fɔːr lɔːŋ/"
"He is? Phil: Sometimes a man's gotta put his foot down And do what a man's gotta do.","有时候男人必须拿出强硬态度，做男人该做的事。

释义：态度强硬；坚决反对
音标：/pʊt hɪz fʊt daʊn/"
"And if the old lady don't like it Honey? That's too damn bad.","如果老婆不喜欢？亲爱的？那也没办法。

释义：那也没办法；太糟糕了
音标：/tuː dæm bæd/"
"We're gonna be judged enough as the only gay parents there.","作为那里唯一的一对同性恋父母，我们已经够会被评头论足了。

释义：被人评头论足
音标：/biː dʒʌdʒd/"
"Just chill, please.","冷静点，拜托。

释义：冷静点
音标：/dʒʌst tʃɪl/"
"I just want to make a good first impression.","我只是想留下一个好的第一印象。

释义：留下好的第一印象
音标：/meɪk ə ɡʊd fɜːrst ɪmˈpreʃən/"
"You mean you want to fit in and not terrify the villagers? No, hey, come on.","你是说你想融入大家，而不是吓到村里的人？

释义：融入；合群
音标：/fɪt ɪn/"
"Today is about lily, all right? We -- her future best friend might be in that class, And I don't want to rub anyone the wrong way.","我不想冒犯任何人。

释义：冒犯；惹恼别人
音标：/rʌb ˈeniwʌn ðə rɔːŋ weɪ/"
"You know what? I'll just go put on a pair of khakis, maybe a polo shirt, And everybody will think We're a couple straight golfing buddies Who just decided to have a kid together.","大家就会以为我们是一对异性恋高尔夫球友，只是决定一起养个孩子。

释义：高尔夫球友
音标：/ˈɡɑːlfɪŋ ˈbʌdiz/"
"Hey, I called that place in napa And got us upgraded to a villa with a hot tub, So pack whatever you wear in a hot tub.","嘿，我打电话给 Napa 那家店，把我们升级成了一栋带热水浴缸的别墅。

释义：升级到别墅
音标：/ˈʌpɡreɪdɪd tə ə ˈvɪlə/"
"sucker.","傻瓜；容易上当的人。

释义：容易上当的人；傻瓜
音标：/ˈsʌkər/"
"Manny's father is taking him for a couple of days to disneyland, So we're gonna go To the wine country! We're gonna drink some wine, eat some good food.","所以我们要去葡萄酒产区！喝点酒，吃点好吃的。

释义：葡萄酒产区
音标：/waɪn ˈkʌntri/"
"He keeps us grounded.","他让我们保持脚踏实地。

释义：让我们脚踏实地
音标：/kiːps ʌs ˈɡraʊndɪd/"
"This morning, I thought I'd go over to the club, hit a few balls.","今天早上，我本想去俱乐部打几杆球。

释义：打几杆球
音标：/hɪt ə fjuː bɔːlz/"
"Call a guy.","找个人来修。

释义：找个人来
音标：/kɔːl ə ɡaɪ/"
"No! You're supposed to do it with him.","不！你应该和他一起做。

释义：按理应该
音标：/səˈpoʊzd tə/"
"It's important that we teach him how to do things for himself.","重要的是教他如何自己动手做事。

释义：自己动手做事
音标：/duː θɪŋz fɔːr hɪmˈself/"
"In my culture, men take great pride in doing physicalabor.","在我的文化里，男人非常以做体力活为傲。

释义：以……为傲
音标：/teɪk ɡreɪt praɪd ɪn/"
"You're snny! I'm gonna share that one with my next husband When we're spending all your money.","等我嫁给下一个丈夫、花光你所有的钱时，我要把这个笑话讲给他听。

释义：把那个笑话讲给别人听
音标：/ʃer ðæt wʌn/"
"Dad, this is the coolest bike ever.","爸爸，这是有史以来最酷的自行车。

释义：有史以来最酷的自行车
音标：/ðə ˈkuːləst baɪk ˈevər/"
"Certain members of this family Don't think you can take care of this bad boy.","家里有些人觉得你照顾不好这个酷家伙。

释义：酷东西；强悍的家伙
音标：/bæd bɔɪ/"
"U mean mom? Your words, not mine.","你是说妈妈？这是你说的，不是我说的。

释义：这是你说的，不是我说的
音标：/jʊr wɜːrdz nɑːt maɪn/"
"Look, uh, your mom and I are a team, And she -- we feel like this is a chance For you to show some responsibility.","我们觉得这是你展现一些责任感的机会。

释义：表现出责任感
音标：/ʃoʊ səm rɪˌspɑːnsəˈbɪləti/"
"Don't make us look like jerks here.","别让我们在这里显得像混蛋。

释义：看起来像混蛋
音标：/lʊk laɪk dʒɜːrks/"
"What? Have, like, three buttloads of fun.","什么？要玩得超级痛快。

释义：超级多乐趣；玩个痛快
音标：/θriː ˈbʌtloʊdz əv fʌn/"
"Okay, but I need to be done by 3:00.","好，但我得在三点前结束。

释义：在……之前完成
音标：/biː dʌn baɪ/"
"That's when my dad's picking me up.","那是我爸爸来接我的时间。

释义：来接我
音标：/ˈpɪkɪŋ miː ʌp/"
"Gloria: In colombia, there's a saying -- If you have two stubborn burros that don't like each other, You tie them to the same cart.","如果你有两头固执的驴子彼此不喜欢，就把它们绑在同一辆车上。

释义：把它们绑在……上
音标：/taɪ ðəm tuː/"
"It's supposed to be really fast, but he's not scared of anything.","据说它非常快，但他什么都不怕。

释义：什么都怕
音标：/skerd əv ˈeniθɪŋ/"
"He d't even wear a seat belt when he drives.","他开车时甚至不系安全带。

释义：系安全带
音标：/wer ə siːt belt/"
"To reduce the risk of electrical shock --"" We can skip that.","“为了降低触电风险——”我们可以跳过那段。

释义：跳过那部分
音标：/skɪp ðæt/"
"Uh, ""failure to heed these warnings Can lead to serious injury or death --"" You know, you worry too much.","“未听从这些警告可能导致重伤或死亡——”你知道的，你担心太多了。

释义：未听从；未注意
音标：/ˈfeɪljər tə hiːd/"
"Nobody's gonna get shocked.","没人会触电的。

释义：触电
音标：/ɡet ʃɑːkt/"
"One time, my dad was struck by lightning.","有一次，我爸被闪电击中了。

释义：被闪电击中
音标：/strʌk baɪ ˈlaɪtnɪŋ/"
"That's why he can drink as much as he wants.","所以他想喝多少就喝多少。

释义：想喝多少就喝多少
音标：/æz mʌtʃ æz hi wɑːnts/"
"The truth? He's a total flake.","真相？他完全是个不靠谱的人。

释义：完全不靠谱的人
音标：/ə ˈtoʊtəl fleɪk/"
"In fact, the only way he's like superman Is that they both landed in this country illegally.","他们俩都是非法来到这个国家的。

释义：来到这个国家
音标：/ˈlændɪd ɪn ðɪs ˈkʌntri/"
"Let's just be ourselves.","我们就做自己吧。

释义：做自己
音标：/biː aʊrˈselvz/"
"Or a slightly toned-down version of ourselves.","或者做稍微收敛一点的自己。

释义：收敛版；低调版
音标：/toʊnd daʊn ˈvɜːrʒən/"
"It's appointment viewing.","这是必看节目。

释义：必看节目
音标：/əˈpɔɪntmənt ˈvjuːɪŋ/"
"We're all over here taking turns blowing bubbles.","我们都在这里轮流吹泡泡。

释义：轮流
音标：/ˈteɪkɪŋ tɜːrnz/"
"Oh, well, how nice for The babies.","哦，对宝宝们来说可真好啊。

释义：对……可真好啊（常含讽刺）
音标：/haʊ naɪs fɔːr/"
"Phil: 10 minutes after making a promise to me, He leaves his bike unlocked.","才答应我十分钟，他就没锁自行车。

释义：没锁自行车
音标：/liːvz hɪz baɪk ʌnˈlɑːkt/"
"All I can hear is claire's voice in my head -- [ high-pitched .]","我脑子里全是 Claire 的声音。

释义：脑中的声音
音标：/vɔɪs ɪn maɪ hed/"
"I do a pretty good claire.","我模仿 Claire 还挺像的。

释义：模仿 Claire 得很像
音标：/duː ə ˈprɪti ɡʊd kler/"
"So I decided to teach him a lesson And let him think his bike was stolen.","所以我决定给他一个教训，让他以为自行车被偷了。

释义：让他以为
音标：/let hɪm θɪŋk/"
"Now, I know that sounds kind of rough, But sometimes it's a dad's job to be the tough guy.","有时候当爸爸就得当那个强硬的人。

释义：硬汉；强硬的人
音标：/tʌf ɡaɪ/"
"On your left.","借过，我在你左边。

释义：借过；我在你左边
音标：/ɑːn jʊr left/"
"Everyone, we have a new family joining us today.","大家，我们今天有一个新家庭加入。

释义：加入我们
音标：/ˈdʒɔɪnɪŋ ʌs/"
"I-I'm cameron, and I'm currently not working, Which gives me more time to grill And shoot baskets and -- And this is lily.","我目前没有工作，所以有更多时间烧烤、投篮。

释义：目前没有工作
音标：/ˈkɜːrəntli nɑːt ˈwɜːrkɪŋ/"
"Okay, we're gonna start with the hello dance, And then we're gonna move on to blocks and finger painting, And then we're gonna do our family dance.","然后我们要接着玩积木和手指画，接着跳家庭舞。

释义：接着进行；转到
音标：/muːv ɑːn tuː/"
"All right, who wants to start us off? Dance us in, p.","好，谁想先开始？

释义：让我们开始
音标：/stɑːrt ʌs ɔːf/"
"Oh! Is she grabbing or scooting yet? Y-yes, absolutely.","她会抓东西或者挪动了吗？

释义：会挪动了吗
音标：/ˈskuːtɪŋ jet/"
"Cam, just -- Yes, I know -- tamp down my natural gifts And dance like a straight guy.","收敛一下我的天赋，像个直男那样跳舞。

释义：压制；收敛
音标：/tæmp daʊn/"
"Hi, uh, this is really embarrassing, But I locked myself out of my house.","这真的很尴尬，但我把自己锁在房子外面了。

释义：把自己锁在门外
音标：/lɑːkt maɪˈself aʊt/"
"There's a window open, but I can't reach it.","有扇窗户开着，但我够不到。

释义：够不到
音标：/kænt riːtʃ ɪt/"
"you know what they say -- Every time god closes a door, he opens a window.","你知道他们怎么说——上帝每关上一扇门，就会打开一扇窗。

释义：上帝关上一扇门，就会打开一扇窗
音标：/ˈevri taɪm ɡɑːd kloʊzɪz ə dɔːr hi ˈoʊpənz ə ˈwɪndoʊ/"
"Okay, what do we got here? I mean, am I attracted to her? Yes.","我是说，我对她有吸引力吗？有。

释义：被她吸引
音标：/əˈtræktɪd tə hɜːr/"
"Would I ever act on it? No.","我会付诸行动吗？不会。

释义：付诸行动
音标：/ækt ɑːn ɪt/"
"If I knew a man was gonna climb into my bedroom window, I would have cleaned up a bit.","如果我知道会有男人爬进我卧室的窗户，我会稍微收拾一下。

释义：爬进
音标：/klaɪm ˈɪntuː/"
"ForDry skin and, you know, calloused hands.","里面的味道像乳液和精油——适合干性皮肤和长茧的手。

释义：长满老茧的手
音标：/ˈkæləsst hændz/"
"What's wrong? The bike's gone.","自行车不见了。

释义：自行车不见了
音标：/ðə baɪks ɡɔːn/"
"Thank you! So, to teach him a lesson, I took his bike, And then -- crazy thing -- I put it down for one minute, And someone swiped it from me.","我把它放下了一分钟，就有人从我这里把它偷走了。

释义：把它偷走了
音标：/swaɪpt ɪt/"
"Zinger! So Any chance I could get a break on this one? I can throw in a bell.","这个能不能给我便宜点？我可以附赠一个铃。

释义：附赠一个铃
音标：/θroʊ ɪn ə bel/"
"Deal.","成交。

释义：成交。
音标：/diːl/"
"So, you want to go for the insurance this time, Or is it still for suckers? Ha ha! Got me again.","所以，这次你想买保险，还是仍然觉得保险是给傻子买的？

释义：选择买保险
音标：/ɡoʊ fɔːr ði ɪnˈʃʊrəns/"
"Well played, milord.","干得漂亮，大人。

释义：干得漂亮
音标：/wel pleɪd/"
"Don't worry about it.","别担心。

释义：别担心；没关系
音标：/doʊnt ˈwɜːri əˈbaʊt ɪt/"
"Oh, you have no idea.","哦，你根本不知道。

释义：你根本不知道
音标：/juː hæv noʊ aɪˈdiːə/"
"Mwah! Makes me so happy to see my two boys working together.","看到我的两个男孩一起合作，我真高兴。

释义：合作
音标：/ˈwɜːrkɪŋ təˈɡeðər/"
"Yep, he's been a big help.","是的，他帮了大忙。

释义：帮了大忙
音标：/bɪn ə bɪɡ help/"
"Look at you two with your private jokes already.","看看你们俩，已经有只有彼此才懂的笑话了。

释义：只有彼此懂的笑话
音标：/ˈpraɪvət dʒoʊks/"
"""you blew it.","你搞砸了。

释义：你搞砸了
音标：/juː bluː ɪt/"
"You made me look bad.","你让我很难堪。

释义：让我难堪；显得我很差
音标：/meɪd miː lʊk bæd/"
"So, uh, what happened after I took off? Anything you want to share with me? Not really.","所以，我走之后发生了什么？

释义：离开；动身
音标：/tʊk ɔːf/"
"I didn't mean it.","我不是故意的。

释义：我不是故意的
音标：/aɪ ˈdɪdənt miːn ɪt/"
"I told mom you were ready for this.","我告诉妈妈你已经准备好面对这件事了。

释义：准备好面对这件事
音标：/ˈredi fɔːr ðɪs/"
"It's just a scratch, dad.","只是个小划痕，爸爸。

释义：只是个小划痕
音标：/ɪts dʒʌst ə skrætʃ/"
"That's not the point, luke -- what? I scratched it on my way into the driveway.","这不是重点，Luke——什么？我在开进车道时划到了。

释义：这不是重点
音标：/ðæts nɑːt ðə pɔɪnt/"
"Why? That's good, 'cause There are bad people out there who would steal a bike.","那很好，因为外面有坏人会偷自行车。

释义：外面有坏人
音标：/bæd ˈpiːpəl aʊt ðer/"
"The good news is, luke has his bike.","好消息是，Luke 的自行车还在。

释义：好消息是
音标：/ðə ɡʊd nuːz ɪz/"
"More good news -- I taught some random kid a valuable lesson By stealing his bike.","更好的消息是——我偷了一辆自行车，顺便给一个随便遇到的孩子上了一堂宝贵的课。

释义：宝贵的教训
音标：/ˈvæljuəbəl ˈlesən/"
