# 考研短语表 · 共 2843 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · 考研短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
break up,,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏",
brighten up,,"使愉快,使生辉",
brim over with,,满溢,
brim with,/brɪm wɪð/,v. 充满，装满,
bring about,,"带来, 使掉头",
bring back,,"拿回来, 使回忆起来, 使恢复",
bring down,,"打倒, 击落, 击败, 降低；[经] 结转, 转下",
bring forth,,使产生,
bring forward,,"提出, 提前；[经] 结转",
bring in,,"提出, 挣得, 引进",
bring into,,使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道],
bring into effect,,"实现, 实施",
bring into operation,,[化] 投入运转,
bring into practice,/brɪŋ ˈɪntə ˈpræktɪs/,付诸实践：将理论、计划或想法付诸实际行动。,
bring out,,"使显示, 出版, 说出；[经] 包销人公开出售新证券",
bring sth. into sth.,,"使开始, 使诞生",
bring to,,"使恢复知觉, (使)停驶",
bring to a halt,,使停止,
bring together,,使相合[连接]; 使相识; 使坐在一起; 使会面,
bring up,,"教育, 培养, 提出, 停下, 呕出",
brood about,,沉思，忧虑：长时间地沉思或忧虑某事，常常带有消极的情绪。,
brood on,,"郁郁而思,沉思冥想",
brood over,,"郁郁而思,沉思冥想",
brush aside,,"扫除, 漠视",
brush off,,"刷去, 脱落, 除掉",
build in,,"嵌入, 插入",
build into,,使成为…的一部分,
build on,,在原有的建筑物上增建; 以…为基础; 依赖; 一心指望,
build up,,"树立, 增进, 增大, 堵塞；[化] 提升力",
build upon,,"指望, 依赖, 建立于",
bump against,,"撞上,偶然碰见",
bump along,,颠簸行驶：指车辆在不平坦的路面上颠簸行驶。,
bump down,/bʌmp daʊn/,降低：将某物或某人从一个较高的位置或地位降低到一个较低的位置或地位。,
bump into,,偶然遇见,
bundle up,,"把...捆扎, 使穿暖",
burn down,,"烧成平地, 火力减弱；[机] 烧去, 火力衰退",
burn out,,"烧坏, 烧掉, 烧尽；[机] 烧光",
burn up,,"烧起来, 烧掉, 发怒",
burst into,,"闯入, 开出, 突然出现",
burst on,,突然而毫无预警地进入一个房间，打断房间内的人或活动：指突然而毫无预警地进入一个房间，打断房间内的人或活动。,
burst out,,"闯出来, 大声喊, 突发",
burst upon,,突然来到,
but for,,要不是,
but then,,但另一方面,
but then again,/bət ðen əˈɡen/,然而，再说一遍：用于表达对前面所说的话或观点的反驳或重新考虑。,
butt in,,"插手, 干涉",
buy into,,出钱入(某组织或企业),
buy off,,收买；[经] 买通,
buy out,,"出钱使放弃地位；[经] 买下, 买妥, 买下...的全部产权",
buy up,,"全买；[经] 囤积, 收买(公司等), 全买",
buzz about,,闹哄哄地跑来跑去,
buzz around,,"<俚>匆忙而紧张地行动, 乱哄哄地跑来跑去",
by a large margin,,大幅度地，明显地：表示某个事物在数量、质量等方面比其他事物有很大的差距或优势。,
by accident,,偶然,
by all means,,"尽一切办法, 一定",
by analogy,,用类推的方法,
by and large,,"大体上, 基本上",
by chance,,"偶然, 也许",
by common consent,,"经一致同意,公认",
by comparison,,比较起来,
by contrast,,"对比起来, 与之相比, 相反地",
by contrast with,,与……形成对比：用于指出与之相比的不同之处或相反的情况。,
by courtesy of,,蒙...好意,
by design,,"故意地, 蓄意地",
by far,,显然,
by hand,,用手,
by heart,,"凭记忆, 记住",
by inference,,"[法] 根据推理, 推论",
by itself,,"单独地,孤零地;独立地",
by leaps and bounds,,非常迅速地,
by means of,,依靠,
by mistake,,由于差错,
by nature,,天生地,
by no means,,决不,
by occasion of,,"因为,由于",
by reason of,,"由于, 因为",
by rights,,正当地,
by sheer chance,,纯属偶然地,
by the book,,按常规,
by the end of,,"到…结束的时候,到…末",
by the name of,,名叫...,
by the same token,,出于同样原因,
by the time,,"到…的时候,截至",
by the way,,"在途中, 顺便",
by turns,,"轮流, 交替",
by virtue of,,"依靠, 由于；[法] 凭藉, 依靠, 由于...",
by way of,,"经由, 作为, 为了；[经] 当作, 为了, 通过",
call about sth.,,暂无释义，可打开词卡用有道查询,
call at,,"停靠(车站), 拜访(家/办公室)",
call for,,"叫(某人)来, 要求, 为...叫喊, 为...叫",
call forth,,"引起, 使产生, 使起作用",
call in,,"召集, 召来, 来访；[电] 叫入",
call off,,"叫走, 放弃, 使转移走, 依次叫名",
call on,,"号召, 呼吁, 约请, 访问",
call out bids,,叫牌：桥牌游戏中的一种叫牌方式，玩家可以大声宣布自己的叫牌，以便其他玩家听到。,
call sb. about sth.,,暂无释义，可打开词卡用有道查询,
call up,,"召集, 使想起, 提出, 打电话给",
call upon,,"号召, 拜访; 省视",
calm down,,"平静下来, 镇定下来",
can do with,,"需要,想要,如果有…就好了",
can't help,,无法避免某种情况或阻止某事发生；忍不住；不由自主（常用 can't help doing sth、can't help but do sth，也作 can't help it，表示没办法、由不得自己）,
can't help doing,,不禁做某事,
cancel out,,"[经] 抵销, 取消",
cannot but,,"不得不, 不能不",
capable of,,有…能力（或技能）的，能…的,
care about,,担心,
care for,,"喜欢, 照顾, 为...操心, 尊重",
carry forward,,"推进, 结转；[经] 结转, 过次页",
carry into effect,,"实行, 实现；[法] 实行, 实施, 实现",
carry into practice,,付诸实践：将理论、计划或想法付诸实际行动。,
carry off,,"夺去...的生命, 获得, 成功对付；[建] 带走, 夺去",
carry on,,"继续开展, 行为愚蠢(或越轨)；[经] 继续发展(经营)下去",
carry out,,"进行, 实现, 贯彻, 执行；[经] 进行(到底), 执行, 落实",
carry through,,"实现, 使度过困难, 坚持下去；[经] 进行(到底), 贯彻",
carve out,,开辟,
carve up,,"瓜分, 划分",
cash down,,"即其付款；[经] 即期付款, 即付",
cash in on,,"靠...赚钱, 乘机利用；[经] 靠...赚钱, 乘机利用",
cast about for,,寻找,
cast around for,,四处寻找：指在各个地方寻找某物或某人。,
cast aside,,"消除, 废除",
cast doubt on,,"引起对...的怀疑, 使人们不相信...",
cast light on,,阐明，解释，使清楚明白,
cast light upon,,阐明，解释：揭示或解释某事物，使其更加清晰明了。,
cast out,,驱逐,
catch a glimpse of,,瞥见,
catch fire,,着火着火; 失火; 发火; 走水,
catch on,,"变得流行, 理解, 明白",
catch one's breath,,"喘息, 屏息",
catch one's eye,,un. 胡说；引起…的注意,
catch sight of,,瞥见,
catch the attention of,,引起…的注意,
catch up,,"把...很快拾起, 把...缠住；[计] 抓取程序",
catch up on,,补做(工作),
catch up to,/kætʃ ʌp tu/,追上：指迅速移动以赶上（在前方的人或物）。,
catch up with,,赶上,
cater for,,"供应伙食, 迎合",
cater to,,迎合,
chance on,,偶然发现,
chance upon,,偶然发现[遇到]; 碰见,
charge sb. with,,指控某人：指控某人犯有某种罪行或违法行为。,
chase after,,"追赶, 追逐",
cheat sb. into the belief that,,暂无释义，可打开词卡用有道查询,
check in,,"登记, 报到；[法] 登记, 报到, 住宿",
check on,,"检查,核对",
check out,,"付帐后离开, 检查, 符合要求, 通过；[法] 离开旅馆, 检验, 盖章",
check up,,"核对, 检查；[经] 检查, 查对",
check up on,,查清,
check with,,与...相符合,
cheer for,,v. 为……加油、欢呼、喝彩，以欢呼、呐喊等方式为某人或某事物打气助威，表达支持和鼓励。,
cheer on,,v. 为（某人）加油、助威；用喊叫或欢呼来鼓励（某人）,
cheer up,,"使振奋, 感到振奋",
chew on,,"寻思,细想,仔细考虑",
chew over,,"细想, 仔细考虑",
choke back,,抑制,
choke up,,"塞住, 噎住, 阻塞",
civil servant,,n. 文职人员; 公务员; 公仆; 联合国等机构的行政人员,
claim for,,要求支付…的费用; 声称[宣布]…属于,
clamp down,,"取缔, 强行压制",
clamp down on,,加强对违法行为的惩罚或打击，或者更加努力地阻止某种犯罪行为,
clean out,,"清除, 打扫干净；[机] 清除口",
clean up,,"打扫干净, 清理, 做完",
clear away,,"清除, 消失",
clear off,,"清除, 摆脱, 走开, 消散；[法] 清偿",
clear out,,"离开, 把...清出；[经] 办理海关出口手续",
clear up,,"整理, 消除, 放晴",
click on,,v. 点击，单击（在计算机或移动设备上用鼠标或触摸屏选中、打开或激活链接、图标、按钮等屏幕对象）,
cling to,,"依附, 依靠, 坚持",
close by,,在附近,
close down,,"关闭, 歇业, 停止播音",
close in,,"包围, 封锁, (白昼)渐短",
close in on,,"包围,逼近",
close to,,"接近于, 靠近于",
close up,,"靠拢, 关闭, 愈合, 封死",
cluster around,,聚集在一起：指人或物体围绕某个中心点或目标集中在一起。,
cluster together,,聚集在一起：指一些物体或人群聚集在一起形成一个紧密的群体。,
coincide with,,符合,
collaborate with,,"合作, 协作",
collide with,,冲突,
combine with,,与...结合,
come about,,"发生, 改变方向",
come across,,偶遇,
come along,,"出现, 进步；[电] 伸线器",
come apart,,"分开, 分裂",
come around,,"来, 前来, 过访, 顺便来访, 笼络, 诱骗",
come at,,"袭击, 达到, 得到",
come away,,脱开,
come away from,,离开,
come back,,"回来, 在记忆中重现, 复辟, 恢复, 回签",
come between,,"在...中间, 离间",
come by,,"从旁边走过, 得到",
come close to,,接近结束或接近完成：指某事物即将结束或即将完成。,
come down,,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对",
come down to,,"流传下来;压缩为,归结为,简化为",
come down with,,"被传染上,因…而病倒",
come in,,"进来, 到达, 流行起来, 当选, 到手；[建] 利润",
come in contact with,,接触：与某物或某人接触或碰触。,
come in for,,"遭到, 受到",
come into,,"得到, 继承；[法] 继承",
come into affect,,暂无释义，可打开词卡用有道查询,
come into being,,"形成, 产生",
come into effect,,开始生效；[法] 生效,
come into existence,,"开始存在, 成立",
come into force,,"开始有效, 开始实施；[法] 生效",
come into operation,,[法] 开始实施,
come into use,,开始被使用,
come off,,"发生, 举行, 表现, 结果",
come on,,"偶遇, 进步, 发生, 开始, 出场, 快来",
come onto operation,,开始运转,
come out,,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布",
come out with,,"发表, 出版, 说出, 提出, 把...投入市场销售",
come over,,过来；[建] 馏出,
come right out and say,,直截了当地说：毫不拐弯抹角地表达自己的意思或观点。,
come round,,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息",
come through,,"经历...仍活着, 安然度过, 胜利, 表现",
come to,,"谈到, 被...继承, 苏醒, 停止",
come to a close,,结束,
come to a halt,,"停住,停下来",
come to a head,,"出脓, 到紧急关头",
come to blows,,开始互殴,
come to grief,,"遭到不幸, 遭难, 失败",
come to grips with,,与...搏斗,
come to hand,,到手,
come to life,,苏醒,
come to light,,暴露,
come to no harm,,不受伤害：表示某人或某物没有遭受到任何损害或伤害。,
come to one's senses,,"苏醒过来, 醒悟",
come to terms,,"达成协议, 妥协, 让步；[法] 达成协议",
come to the fore,,"出名, 成为显赫人物",
come to the point,,"变尖锐, 到紧要关头, 说到要点, 扼要地说",
come true,,"实现, 成为事实",
come under,,"归入, 遭受",
come up,,"走上前来, 发芽, 发生, 被提到, 流行；[建] 按照指标达到质量标准",
come up against,,突然碰到,
come up to,,"达到, 等于",
come up with,,"赶上, 提出",
come with,,"伴随…发生, 与…一起供给",
comment about,,评论：针对某个主题或对象发表意见、观点或评价。,
comment on,,评论,
commit a crime,,犯罪,
commit oneself to,/kəˈmɪt wʌnˈself tu/,致力于，投身于：表示一个人决定全身心地投入某项事业或活动，为其奋斗并承担责任。,
commit suicide,,[法] 自杀,
common run of men,,普通人：指大多数人，没有特殊才能或特殊地位的人群。,
common to,,共同的，共有的,
communicate with,,通话,
comparable to,,"可比较的, 比得上的",
comparable with,,"可比较的, 比得上的；与…相容；可同…比较",
compare to,,把…比作， 喻为; 与…相比,
compare with,,"比较…,跟…相比,比得上…",
compel sb. to do,,暂无释义，可打开词卡用有道查询,
compensate for,,赔偿,
compete against,,与…竞争,
compete in,,v. 参加…比赛（竞赛）,
compete with,,与…竞争,
complain about,,抱怨,
complain of,,"抱怨, 抗议",
complete with,,"连同,包括,以及",
comply with,,照做,
compose oneself to do,,暂无释义，可打开词卡用有道查询,
conceal sth. from sb.,,对(某人)隐瞒(某事),
conceive of,,想象,
concentrate on,,"集中, 全神贯注于",
concern for,,为…担心,
concern oneself about,,为……处忧；关心，挂念,
concern oneself with,,关注：指对某事物或某人感兴趣或关心。；关心：指对某人或某事表示关切或担忧。；忧虑：指对某事感到担忧或焦虑。,
conclude from,/kənˈkluːd frəm/,从……中得出结论：根据已有的信息或证据得出结论。,
conclude with,/kənˈkluːd wɪð/,以……结束：用某种方式或行动结束某事物或事件。,
confer…on sb.,,暂无释义，可打开词卡用有道查询,
confer…upon sb.,,暂无释义，可打开词卡用有道查询,
confess to,,"供认, 承认",
confess to sth.,,暂无释义，可打开词卡用有道查询,
confide in,,信任,
confine to,,限于…之内,
confine within,/kənˈfaɪn wɪˈðɪn/,限制在……范围内：将某物或某人限制在特定的范围或区域内。,
conform to,,"符合, 遵照",
conform with,,与…一致,
consent to,,"同意, 答应",
consist of,,由...组成,
consume sb. with,,暂无释义，可打开词卡用有道查询,
contrary to,,与…相反,
contribute to,,捐献,
control over,,对…的控制（权），支配，征服,
convenient to,/kənˈviːniənt tu/,方便的，便利的；适合的，合适的,
convert sb. to,,暂无释义，可打开词卡用有道查询,
convert to,,[计] 转换至,
convince of,,使（某人）认识到， 相信…,
convince sb. of,,使(某人)相信...,
cook up,,"伪造, 虚构",
cool off,,"变凉, 平静下来",
cooperate with sb.,,同某人合作,
cooperate with sb. in doing,,暂无释义，可打开词卡用有道查询,
cope with,,"与...竞争, 应付, 处理",
correlate with,,与…相关,
correspond to,,"相当于..., 与...相对应",
could do with,/kʊd duː wɪð/,需要某些有益的东西：表示需要或想要某物，尤其是在特定的情况下。,
could yet do,,暂无释义，可打开词卡用有道查询,
couldn't help,,无法控制自己的行为或情感而不得不做某事（忍不住，不禁）,
couldn't help doing,,忍不住做某事：表示无法控制自己的行为，不得不做某事。,
count as,,"当成,算作",
count for,,"有价值,起作用",
count in,,把...计算在内,
count on,,"依靠, 指望",
count up,,"把...加起来, 共计",
couple with,,与…连接在一起,
coupled with,,加上，外加,
cover up,,掩盖,
crack down,,"采取严厉措施, 制裁; 打击",
crack up,,"撞坏, 衰退, 吹捧",
crash down,/kræʃ daʊn/,v. 猛然倒塌；猛烈撞击（常与 on/onto 连用）,
crash into,,闯入,
credit card,,"[计] 信用卡, 记帐卡；[经] 信用卡片, 赊购证, 购物信用卡",
cross out,,"[经] 注销, 删去",
cross section,,横截面；[化] 截面; 横截面; 变截面; 断面,
cry out against,/kraɪ aʊt əˈɡenst/,公开表示某事是错误或不公平，即对某事进行抗议,
cry out for,,迫切需要,
cure of,,（用于 cure somebody of something）治愈，治好（某人的病）；使（某人）戒除恶习，不再做或不再想做不好的事情,
curl up,,卷起,
cut across,,抄近路通过,
cut and dried,,"枯燥无味的,刻板的,老一套的;现成的,事先准备好的",
cut away,,"切掉, 砍掉",
cut back,,"修剪, 削减, 急转向, 倒叙",
cut corners,,抄近路,
cut down,,"砍倒, 胜过, 削减, 删节；[机] 切断作业",
cut in,,"插嘴, 插入, 把...插进；[建] 加入, 插入",
cut into,,打断,
cut off,,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡；[建] 切断, 断流, 切去",
cut out,,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开；[建] 切断, 安全器",
cut short,,"打断, 缩减",
cut up,,"切碎, 抨击, 摧毁, 使伤心, 胡闹",
damp down,,封住;给…泼冷水,
dash off,,匆忙完成,
date back from,,暂无释义，可打开词卡用有道查询,
date back to,,"始于,可以追溯到…",
deal with,,"安排, 处理, 涉及, 做生意",
decide on,,"决定,选定,确定…",
declare oneself,,"发表意见, 显露身分",
decorate with,/ˈdekəreɪt wɪð/,用……装饰：使用某种物品或方式来美化或装饰某物。,
dedicate oneself to,,"把毕生献给,毕生致力于,献身于…",
dedicate to,,献身,
deduce from,,推断；[法] ...从...推断(推出)...,
deep down,,本质上; 实际上; 事实上; 在内心深处,
defend from,,保卫,
define as,/dɪˈfaɪn æz/,把……定义（解释）为……，用于 define X as Y 结构，表示对事物、概念或行为的含义或性质作出界定,
depend on,,"依靠, 依赖",
deprive of,,剥夺,
derive from,,"得自, 由来, 衍生",
descend from,,从…下来;是…的后裔,
descend on,,袭击,
descend to,,转而提到,
despair of,,对…感到绝望,
detach from,/dɪˈtætʃ frəm/,从…脱离；与…分离，不再保持联系,
deviate from,,"偏离…,背离…;放弃…",
devote oneself to,,"献身于, 专心于",
devote to,,把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注,
die away,,"熄灭, 平息, 消失",
die down,,"枯萎, 凋谢",
die from,,"[法] 由于...而死, 死于",
die of,,"死于…,因…而死",
die off,,"相继死去直至死光, 消亡, 逐个死亡",
die out,,"熄灭, 平息, 消失",
differ in,,在…方面不同,
differentiate between,/ˌdɪfəˈrenʃieɪt bɪˈtwiːn/,区分，区别：指辨别两个或多个事物之间的差异或不同。；辨别，分辨：指识别出两个或多个事物之间的差异或不同。,
dig down,,"挖下, 掘倒, 掏腰包",
dig up,,"掘起, 挖出, 发现, 开垦",
dip into,,"浏览, 稍加研究",
disagree with,,"不同意, 不一致, 不适合",
disapprove of,,"不赞成,不同意",
discontent with,,对……不满：感到不满或不满意的情绪，通常是因为某些事情没有达到预期的结果或期望的标准。,
discourage sb. from doing,,劝阻某人做某事：通过言语或行动来阻止或减少某人做某事的意愿。,
discriminate against,,歧视,
discriminate between,/dɪˈskrɪmɪneɪt bɪˈtwiːn/,区分，辨别：能够区分对错是很重要的。；歧视，区别对待：我们不应该因为种族或性别而歧视人。,
dish out,,大量给予或分发,
dispense with,,"免除, 省却, 无需",
dispose of,,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决",
dispute with,/dɪˈspjuːt wɪð; ˈdɪspjuːt wɪð/,与……争论/争执：与某人或某事发生争议或争执。,
distinct from,,adj. 不同于N,
distinguish between,,v. 区别,
distinguish from,,"v. 区别,识别",
distract from,,"v. 分散,使分心",
do a bunk,/duː ə bʌŋk/,偷偷溜走：指突然离开一个地方而不告诉任何人。,
do away with,,"废除, 弄死",
do business,,[经] 经商,
do for,,"对...有效, 代替",
do harm to,,损害。。。，伤害。。。; 残害,
do justice to,,"公平对待, 适当处理",
do one's best,,尽全力,
do one's utmost,,竭力,
do the trick,,获得成功,
do up,,"修缮, 包扎, 整理",
do with,,"与...相处, 忍受, 对付",
do without,,没有...也可以,
double up,,"把...对折, 弯曲, 同宿一室",
down with,,"打倒, 把...拿下",
doze off,,不知不觉地睡着了,
dozens of,,"几十个,数十个;许多…",
drag down,,"拖下去, 把身体拖垮",
drag on,,拖延,
drag out,,拖延,
drain away,,渐渐枯竭,
draw a comparison,,进行比较：指说两个或更多的事物或人相似。；进行对比：指通过对两个或更多事物或人进行对比来说明它们的相似之处或差异。,
draw a conclusion,,得出结论,
draw a conclusion from,,由...得出结论,
draw in,,"收缩, 引诱, 接近黄昏, 紧缩开支",
draw into,/drɔː ˈɪntə/,v. 使（某人）被迫或不情愿地卷入或参与（某事）；吸引（某人或某物）进入（某地或某种状态），使加入、纳入（组织、体系等）；吸入（空气、烟气、粉尘等）；（列车、船舶等）驶入，开到（车站、港口等）,
draw lessons from,,从中吸取教训：从过去的错误中学习。,
draw on,,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近",
draw one's attention to,,引起某人的注意：吸引某人的注意力，使其关注某事物。,
draw one's salary,,领工资：指按照合同或协议从雇主处领取工资。,
draw oneself up,,"控制自己, 挺直身体",
draw out,,"拉长, 抽出, 引出, 拟订",
draw to a close,,渐近结束,
draw up,,"草拟, 停住, 逼近, 拉起, 整队",
dream up,,空想出,
dress up,,"打扮, 装饰",
drive away,,"驱车离开; 把…驱开, 赶走; 祛",
drive one's point home,,强调某点：以非常强烈或有力的方式表达某个观点。,
drive out,,"开车出去; 驱逐, 驱散; 撵; 祛除",
drive sb. to do sth.,,暂无释义，可打开词卡用有道查询,
drop by,,随便访问,
drop in,,顺便走访,
drop off,,"离开, 散去, 逐渐减少；[机] 落砂",
drop out,,"掉出, 退出, 离队；[机] 落砂",
drop out of,,"退出,辍学,脱离",
drop to,,v. 落下，落到（某处或某姿势）；使某物落到（某处）；跪下，跪倒；下降到，跌至，降低到（某水平、数值等）,
drown out,,"淹没, 压过",
drum up,,"纠集, 召集, 竭力争取",
dry out,,"（使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干",
dry up,,"干涸, 住口",
due to,,"由于, 应归于",
dwell on,,"细想, 详述",
dwell upon,,v. 长时间思考、谈论或详述（某个话题、问题等）,
early on,,在早期; 前一阵子,
earn one's living,,谋生：通过工作或其他方式赚取生活费用。,
easy game,/ˈiːzi ɡeɪm/,n. 容易被欺骗或利用的人；（体育竞赛）难度低、容易取胜的比赛,
eat one's word,,食言：指不履行自己的承诺或不遵守自己的诺言。,
eat one's words,,认错道歉,
eat up,,"吃光, 耗尽, 吞灭",
ebb and flow,,"潮起潮落,起伏,涨落,盛衰",
economic recession,,[经] 经济衰退,
effect on,,对……的影响/作用，指某事物对另一事物产生直接或间接的影响。,
elaborate on,,详细说明,
elbow sb. out of the way,,暂无释义，可打开词卡用有道查询,
eliminate from,/ɪˈlɪmɪneɪt frəm/,从……中消除/清除：从某个群体、列表或选择中去除或排除某个人或物。,
embark on,,"从事, 着手",
embark upon,,开始、着手或从事（新的或重要的事情），常带较正式色彩，如开始事业、项目、行动或新阶段,
emerge from,,从…出现,
end up doing,,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为...",
end up with,,"以…作为结局,以…而告终",
endow with,,赋予,
engage in,,"使从事于, 参加",
enroll in,,"登记,报名参加",
enter into,,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享；[法] 进入, 参加, 缔结",
entitle sb. to,,暂无释义，可打开词卡用有道查询,
envision as,,将……视为，把某人或某物想象或设想为另一种事物或角色,
equip with,,装备，配备,
err on the side of,,偏向于：为了确保使用或展示足够的某物，而使用或展示更多的某物。；以谨慎为准：在计划投资时，选择以谨慎为准。,
even as,,"正巧在...的时候, 正如",
even if,,即使,
even less,,"[用于否定句后]何况, 更不用说；更不用说,更何况(= still less)",
even now,,"尽管这样, 即使到现在",
even so,,虽然如此,
even then,,"尽管那样, 即使在那时",
even though,,"虽然, 尽管",
ever since,,从那时到现在,
ever so,,非常,
every bit,,"从头至尾, 完全",
every now and then,,"常常, 不时地",
every other,,"每隔一, 所有其他的",
excel in,,在...方面擅长,
except for,,除...以外；[经] 除...外,
exchange for,,交换，兑换：给出一物而取得另一物；常作 exchange something for something，也用于 in exchange for（以……作为交换）。,
exclude from,/ɪkˈskluːd frəm/,排除，不包括：把某人或某物从某个范围、群体、活动或名单中剔除或不计入其中。,
exempt from,,"免除, 豁免；[法] 豁免...",
exert oneself to do,,努力做某事,
exist in,,存在于…中,
explain away,,通过解释消除,
expose to,,暴露于; 公开揭露,
extend from…to,,从……延伸到……：表示某物从一个地方或时间延伸到另一个地方或时间。,
extract from,,从…中提取,
face to face,,面对面,
face up to,,勇敢地面对,
fade away,,逐渐消失,
fail to,,未能…,
fair play,,"公平比赛, 公平条件；[法] 公正对待, 平等对待",
fall back on,,"求助于, 退到, 回头再说",
fall behind,,"落在后面, 拖欠",
fall for,,"上当, 听信; 爱上",
fall in love,,陷入爱河（歌名）; [电影]追爱总动员,
fall in love with,,爱上,
fall in with,,"偶遇, 同意",
fall into,,"落入, 陷于, 开始, 分成, 属于, 注入",
fall off,,"从...跌下, 下降, 减少, 衰退, 离开",
fall on,,"落在…之上;攻击,袭击",
fall out,,"脱落, 离队, 争吵, 结果是；[化] 落下; 脱落; 散落物; 核爆炸散落物; 沉降物; 落下灰",
fall prey to,/fɔːl preɪ tu/,成为……的猎物：指成为某种负面情况、陷阱或欺骗的受害者。；受……的影响：指受到某种负面情况、诱惑或压力的影响。,
fall short,,缺乏; 不足; 达不到（目标）; 不符合,
fall short of,,"射不中, 不足, 缺乏, 不符合",
fall through,,"失败, 失约",
fall upon,,"开始行动, 进攻",
far from,,"远离, 远非",
feed back,,"反作用, 反馈",
feed in,,"插入, 传回",
feed into,,"送入,装进;流入,注入",
feedback on,,对……的反馈：对某事物给出的反馈意见或评价。,
feel an interest in,,对…感到有趣,
feel interest in,,对……感兴趣：表示对某事物或某人产生兴趣或好奇心。,
feel like,,"摸起来像是…, 有…的感觉; 想要…",
feel no interest in,,对…不感兴趣,
feel the pinch,,"感到拮据, 手头紧",
fend off,,挡开,
fetch up,,"使停止, 引起, 回想起, 弥补, 到达, 呕吐",
fight down,,克服,
fight for,,为…而战斗[竞争]; 争取; 争夺,
fight off,,"击退, 排斥, 避免",
figure out,,"合计为, 计算出, 明白",
file for,,"申请,报名参加",
fill in,,"填充, 填写, 填满, 替代",
fill out,,"填写, 使长大, 变大, 使长胖, 使完备",
fill up,,"填补, 装满, 装满油；[计] 向上填充",
find fault,,"找岔子, 抱怨, 挑剔",
find fault with,,"挑剔,指责,对…吹毛求疵",
find out,,"找出, 发现, 想出, 揭发",
finish off,,"结束, 完成, 干掉",
finish up,,"结束, 完成, 用光",
first of all,,首先,
fish for,,摸索寻找,
fit in,,有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽,
fix on,,"确定, 决定",
flag up,,v. （英式）指出，提醒注意：提醒或指示某事物的存在或问题。,
flare up,,"突然起燃, 突然燃烧, 突然发作/加剧, 突然发怒",
flash back to,,"倒叙, 闪回",
flatter oneself,,"自信, 自想, 自以为",
flesh out,,"充实, 使有血有肉",
flick through,,"浏览,翻阅",
flush with,/flʌʃ wɪð/,脸因强烈的情绪、热量或酒精作用而变红；与……齐平，与……平齐（指表面、物体或边缘处于同一平面，不高出也不凹陷）；（金钱、资源等）充裕的，拥有大量……的,
focus on,,致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心,
follow one's cue from,,暂无释义，可打开词卡用有道查询,
for a moment,,"一会儿,片刻",
for a while,,暂时,
for an instant,,"短时间,瞬时间,剎那间",
for example,,例如,
for fear of,,"害怕,恐怕,生怕,唯恐,以防",
for fear that,,唯恐，害怕; 生恐; 惟恐; 生怕,
for good,,"永久地, 永远地, 一劳永逸地",
for good and all,,永久地,
for instance,,例如；[法] 例如,
for long,,长久,
for one thing,,首先,
for purpose of,,为…的目的,
for short,,"简称, 缩写",
for sure,,确实,
for the better,,"转好,变好,改善",
for the moment,,"暂时, 目前",
for the most part,,在极大程度上,
for the present,,暂时,
for the purpose of,,为了，因…起见; 借以,
for the sake of,,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益",
for the time being,,暂时,
foul up,,"弄脏, 污染, 搞糟",
free from,,"解除, 没有...的",
free of charge,,免费；[经] 免费,
frighten away,,"吓跑, 吓走",
from now on,,从现在开始,
from scratch,,"<非正>从头做起, 从零开始",
from spite,,"出于恶意；[法] 出自恶意, 用心狠毒",
from the bottom up,,从下到上,
from then on,,从那时起,
from time to time,,有时,
from today on,,从今天开始：表示从某个时间点开始，一直延续到未来的一段时间。,
fulfill one's pledge,,暂无释义，可打开词卡用有道查询,
function as,,起…作用,
furnish sth.,,暂无释义，可打开词卡用有道查询,
furnish sth. to sb.,,暂无释义，可打开词卡用有道查询,
gain access to,,可以获得;进入,
gain an advantage over,,"胜过,优于",
gain control over,,控制：获得对某物的控制或支配权。,
gain ground,,"前进, 发展, 普及",
gain momentum,,获得动力，势头增强：常指发展、进展或支持逐渐加强并加速，更有望成功；也可指加速前进，变得更快。,
gamble away,,赌光,
gang up,,"聚集, 结成一伙",
gather momentum,,积聚动力：指事物逐渐加速发展，增长速度不断提高。,
gather up,,"收集起, 蜷曲, 概括",
generate from,,由……生成：指从某个来源或基础产生或生成某物。,
